timestamp,key,event
73537.078100822,RIGHT,press
73537.11836222,UP,press
73537.163827724,JUMP,release
73537.313344793,UP,release
73537.369935217,RIGHT,release
73537.729459502,RIGHT,press
73537.729511801,JUMP,press
73537.993850818,JUMP,release
73538.064904691,ATTACK,press
73538.076262605,RIGHT,release
73538.414395329,ATTACK,release
73538.577348443,JUMP,press
73538.629189126,RIGHT,press
73538.802188387,JUMP,release
73538.964180245,DOWN,press
73538.988692604,ATTACK,press
73539.003169856,RIGHT,release
73539.226330065,ATTACK,release
73539.313300687,DOWN,release
73539.476673882,JUMP,press
73539.526606755,RIGHT,press
73539.728898443,DOWN,press
73539.769918658,JUMP,release
73539.880102469,ATTACK,press
73540.153618923,ATTACK,release
73540.188277327,RIGHT,release
73540.188318408,DOWN,release
73540.477988148,JUMP,press
73540.53871093,UP,press
73540.724284462,JUMP,release
73540.724431139,ATTACK,press
73540.864631688,UP,release
73540.942159294,ATTACK,release
73540.989781907,LEFT,press
73541.113528614,JUMP,press
73541.238148024,LEFT,release
73541.29765093,JUMP,release
73541.426910133,RIGHT,press
73541.675797712,JUMP,press
73541.851687797,JUMP,release
73542.138883766,RIGHT,release
73542.263649383,DOWN,press
73542.426677787,JUMP,press
73542.448656091,LEFT,press
73542.476718325,DOWN,release
73542.627259895,JUMP,release
73542.948500429,LEFT,press
73542.980994539,LEFT,press
73543.02129657,LEFT,press
73543.051822471,LEFT,press
73543.076491015,UP,press
73543.07654569,LEFT,release
73543.351864351,JUMP,press
73543.417662378,RIGHT,press
73543.538415586,UP,release
73543.538477873,JUMP,release
73543.727320347,ATTACK,press
73543.965235614,ATTACK,release
73543.992505164,RIGHT,release
73544.076901751,UP,press
73544.165307094,JUMP,press
73544.239775091,RIGHT,press
73544.323133612,UP,release
73544.413701052,ATTACK,press
73544.413876198,JUMP,release
73544.513712919,DOWN,press
73544.62652417,ATTACK,release
73544.656841578,RIGHT,release
73544.801572753,DOWN,release
73544.939488183,DOWN,press
73544.990104185,JUMP,press
73545.026654846,RIGHT,press
73545.214359069,ATTACK,press
73545.300232515,JUMP,release
73545.414403367,ATTACK,release
73545.552475918,ATTACK,press
73545.688479266,DOWN,release
73545.771795961,ATTACK,release
73545.840074136,RIGHT,release
73545.91387782,UP,press
73546.016475504,JUMP,press
